name,country,avgTenure,avgAge,percentWomen,cap,industry,industryTenure,industryAge,industryWomen,globalTenure,globalAge,globalWomen,countryTenure,countryAge,countryWomen
American States Water Company,US,10.2,68,44.4,1.5872,Utilities,6.4,59.97,21,7.4,60,17,8.247254471,61.43591152,15
"H&E Equipment Services, Inc.",US,9.4,68,0,0.6802,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
Sirtex Medical Ltd.,Australia,8.8,68,20,1.2808,Health Care,7.13,60.28,16,7.4,60,17,5.81913775,59.75394322,24
"TriState Capital Holdings, Inc.",US,7.9,68,8.3,0.4141,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
Strad Energy Services Ltd.,Canada,6.8,68,0,0.0423,Energy,7,60.92,12,7.4,60,17,7.662806089,60.97683653,17
TransAtlantic Petroleum Ltd.,US,6.4,68,0,0.0339,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
"Colony Capital, Inc.",US,6.2,68,16.7,1.93,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"NantKwest, Inc.",US,2.9,68,0,0.5345,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Syrah Resources Ltd,Australia,2.4,68,0,1.1281,Materials,6.88,60.08,16,7.4,60,17,5.81913775,59.75394322,24
Kroton Educacional S.A.,Brazil,1.5,68,22.2,7.7968,Consumer Discretionary,7.57,59.12,20,7.4,60,17,4.684322034,58.40042373,6
THE MARCUS CORPORATION,US,18.5,67.9,15.4,0.6067,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
"NACCO Industries, Inc.",US,17,67.9,0,0.4069,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
Banco Bradesco S.A.,Brazil,13.5,67.9,12.5,50.501,Financials,7.92,60.71,18,7.4,60,17,4.684322034,58.40042373,6
"CAI International, Inc.",US,12.6,67.9,0,0.1749,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"Vishay Intertechnology, Inc.",US,12.1,67.9,11.1,1.8698,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
Textron Inc.,US,11.9,67.9,9.1,10.4172,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"B/E Aerospace, Inc.",US,11.9,67.9,14.3,4.6482,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"Mistras Group, Inc.",US,11.3,67.9,0,0.7329,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
"Westwood Holdings Group, Inc.",US,10.1,67.9,25,0.485,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Gilead Sciences, Inc.",US,10,67.9,11.1,115.429,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Dynavax Technologies Corporation,US,8.9,67.9,22.2,0.5824,Health Care,7.13,60.28,16,7.4,60,17,8.247254471,61.43591152,15
Primoris Services Corporation,US,6.7,67.9,0,0.9935,Industrials,7.44,60.22,17,7.4,60,17,8.247254471,61.43591152,15
The Hong Kong and China Gas Co. Ltd.,Hong Kong,23.3,67.8,0,23.2192,Utilities,6.4,59.97,21,7.4,60,17,9.783838384,61.74949495,13
Service Corporation International,US,21.7,67.8,9.1,5.5135,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
Electro Rent Corporation,US,19.5,67.8,33.3,0.3743,Information Technology,7.58,59.27,15,7.4,60,17,8.247254471,61.43591152,15
"EastGroup Properties, Inc.",US,17.8,67.8,11.1,2.3274,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"M.D.C. Holdings, Inc.",US,15.9,67.8,0,1.2958,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
"Continental Resources, Inc.",US,14.8,67.8,0,17.2153,Energy,7,60.92,12,7.4,60,17,8.247254471,61.43591152,15
Loews Corporation,US,14.1,67.8,7.1,14.0285,Financials,7.92,60.71,18,7.4,60,17,8.247254471,61.43591152,15
"Dollar Tree, Inc.",US,13.7,67.8,9.1,22.2327,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
Seaboard Corporation,US,13.5,67.8,0,3.4427,Consumer Staples,7.41,59.11,21,7.4,60,17,8.247254471,61.43591152,15
"Stein Mart, Inc.",US,12.9,67.8,20,0.3844,Consumer Discretionary,7.57,59.12,20,7.4,60,17,8.247254471,61.43591152,15
